Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,ID
1,Derrick Henry *,TEN,25,RB,15,15,303,1540,73,572,1.9,968,3.2,29,10.4,HenrDe00
2,Ezekiel Elliott*,DAL,24,RB,16,16,301,1357,78,678,2.3,679,2.3,24,12.5,ElliEz00
3,Nick Chubb*,CLE,24,RB,16,16,298,1494,62,612,2.1,882,3.0,32,9.3,ChubNi00
4,Christian McCaffrey*+,CAR,23,RB,16,16,287,1387,57,874,3.0,513,1.8,16,17.9,McCaCh01
5,Chris Carson,SEA,25,RB,15,15,278,1230,75,496,1.8,734,2.6,28,9.9,CarsCh00
6,Joe Mixon,CIN,23,RB,16,15,278,1137,56,492,1.8,645,2.3,24,11.6,MixoJo00
7,Leonard Fournette,JAX,24,RB,15,15,265,1152,55,360,1.4,792,3.0,16,16.6,FourLe00
8,Dalvin Cook*,MIN,24,RB,14,14,250,1135,60,539,2.2,596,2.4,20,12.5,CookDa01
9,Marlon Mack,IND,23,RB,14,12,247,1091,67,591,2.4,500,2.0,12,20.6,MackMa00
10,Sony Michel,NWE,24,RB,16,14,247,912,55,521,2.1,391,1.6,16,15.4,MichSo00
11,Le'Veon Bell,NYJ,27,RB,15,15,245,789,36,287,1.2,502,2.0,16,15.3,BellLe00
12,Carlos Hyde,HOU,29,RB,16,14,245,1070,55,525,2.1,545,2.2,22,11.1,HydeCa00
13,Josh Jacobs,OAK,21,RB,13,13,242,1150,53,467,1.9,683,2.8,26,9.3,JacoJo01
14,David Montgomery,CHI,22,rb,16,8,242,889,50,496,2.0,393,1.6,28,8.6,MontDa01
15,Aaron Jones,GNB,25,RB,16,16,236,1084,55,569,2.4,515,2.2,32,7.4,JoneAa00
16,Phillip Lindsay,DEN,25,RB,16,16,224,1011,38,603,2.7,408,1.8,29,7.7,LindPh00
17,Todd Gurley,LAR,25,RB,15,15,223,857,51,483,2.2,374,1.7,21,10.6,GurlTo01
18,Saquon Barkley,NYG,22,RB,13,13,217,1003,45,398,1.8,605,2.8,16,13.6,BarkSa00
19,Adrian Peterson,WAS,34,RB,15,15,211,898,41,374,1.8,524,2.5,7,30.1,PeteAd01
20,Mark Ingram*,BAL,30,RB,15,15,202,1018,53,494,2.4,524,2.6,18,11.2,IngrMa01
21,Devonta Freeman,ATL,27,RB,14,14,184,656,31,363,2.0,293,1.6,11,16.7,FreeDe00
22,Miles Sanders,PHI,22,RB,16,11,179,818,30,445,2.5,373,2.1,16,11.2,SandMi01
23,Lamar Jackson*+,BAL,22,QB,15,15,176,1206,71,867,4.9,339,1.9,3,58.7,JackLa00
24,Ronald Jones II,TAM,22,RB,16,9,172,724,34,309,1.8,415,2.4,23,7.5,JoneRo01
25,Alvin Kamara*,NOR,24,RB,14,9,171,797,32,396,2.3,401,2.3,29,5.9,KamaAl00
26,Kenyan Drake,2TM,25,,14,10,170,817,48,479,2.8,338,2.0,12,14.2,DrakKe00
27,Frank Gore,BUF,36,rb,16,8,166,599,30,260,1.6,339,2.0,10,16.6,GoreFr00
28,Melvin Gordon,LAC,26,RB,12,11,162,612,39,312,1.9,300,1.9,8,20.3,GordMe00
29,Peyton Barber,TAM,25,rb,16,7,154,470,23,204,1.3,266,1.7,8,19.3,BarbPe01
30,Devin Singletary,BUF,22,RB,12,8,151,775,37,413,2.7,362,2.4,20,7.6,SingDe00
31,Latavius Murray,NOR,29,rb,16,8,146,637,38,390,2.7,247,1.7,11,13.3,MurrLa00
32,Tevin Coleman,SFO,26,RB,14,11,137,544,26,354,2.6,190,1.4,5,27.4,ColeTe01
33,Raheem Mostert,SFO,27,rb,16,0,137,772,31,475,3.5,297,2.2,12,11.4,MostRa00
34,Gus Edwards,BAL,24,rb,16,1,133,711,46,335,2.5,376,2.8,7,19.0,EdwaGu00
35,Austin Ekeler,LAC,24,rb,16,8,132,557,32,233,1.8,324,2.5,12,11.0,EkelAu00
36,Royce Freeman,DEN,23,rb,16,0,132,496,22,244,1.8,252,1.9,8,16.5,FreeRo00
37,Matt Breida,SFO,24,rb,13,5,123,623,23,402,3.3,221,1.8,8,15.4,BreiMa00
38,Jordan Howard,PHI,25,rb,10,4,119,525,28,243,2.0,282,2.4,4,29.8,HowaJo00
39,James Conner,PIT,24,RB,10,10,116,464,26,199,1.7,265,2.3,5,23.2,ConnJa00
40,Kerryon Johnson,DET,22,RB,8,7,113,403,22,177,1.6,226,2.0,8,14.1,JohnKe06
41,Damien Williams,KAN,27,rb,11,6,111,498,22,141,1.3,357,3.2,15,7.4,WillDa05
42,Josh Allen,BUF,23,QB,16,16,109,510,42,267,2.4,243,2.2,5,21.8,AlleJo02
43,Benny Snell Jr.,PIT,21,rb,13,2,108,426,19,125,1.2,301,2.8,7,15.4,SnelBe00
44,DeAndre Washington,OAK,26,rb,16,3,108,387,23,186,1.7,201,1.9,5,21.6,WashDe00
45,Jamaal Williams,GNB,24,rb,14,2,107,460,23,270,2.5,190,1.8,5,21.4,WillJa06
46,LeSean McCoy,KAN,31,RB,13,9,101,465,24,265,2.6,200,2.0,5,20.2,McCoLe01
47,Alexander Mattison,MIN,21,rb,13,0,100,462,19,267,2.7,195,2.0,11,9.1,MattAl01
48,David Johnson,ARI,28,rb,13,9,94,345,20,175,1.9,170,1.8,6,15.7,JohnDa08
49,Kyler Murray,ARI,22,QB,16,16,93,544,27,445,4.8,99,1.1,4,23.3,MurrKy00
50,Bo Scarbrough,DET,25,rb,6,5,89,377,15,183,2.1,194,2.2,5,17.8,ScarBo01
51,Tony Pollard,DAL,22,rb,15,0,86,455,21,146,1.7,309,3.6,10,8.6,PollTo00
52,Duke Johnson,HOU,26,rb,16,2,83,410,17,175,2.1,235,2.8,8,10.4,JohnDu00
53,Deshaun Watson*,HOU,24,QB,15,15,82,413,29,351,4.3,62,0.8,3,27.3,WatsDe00
54,Brian Hill,ATL,24,rb,12,2,78,323,19,157,2.0,166,2.1,3,26.0,HillBr02
55,Russell Wilson*,SEA,31,QB,16,16,75,342,17,290,3.9,52,0.7,1,75.0,WilsRu00
56,Kalen Ballage,MIA,24,RB,12,6,74,135,10,50,0.7,85,1.1,1,74.0,BallKa00
57,Malcolm Brown,LAR,26,rb,14,1,69,255,16,110,1.6,145,2.1,10,6.9,BrowMa03
58,Gardner Minshew II,JAX,23,QB,14,12,67,344,20,256,3.8,88,1.3,2,33.5,MinsGa00
59,James White,NWE,27,rb,15,1,67,263,15,165,2.5,98,1.5,3,22.3,WhitJa02
60,Jaylen Samuels,PIT,23,te,14,4,66,175,9,49,0.7,126,1.9,3,22.0,SamuJa00
61,Rex Burkhead,NWE,29,rb,13,1,65,302,18,157,2.4,145,2.2,6,10.8,BurkRe00
62,Rashaad Penny,SEA,23,rb,10,0,65,370,16,186,2.9,184,2.8,5,13.0,PennRa00
63,Tarik Cohen,CHI,24,RB,16,11,64,213,15,134,2.1,79,1.2,6,10.7,CoheTa00
64,Ty Johnson,DET,22,rb,16,1,63,273,11,120,1.9,153,2.4,5,12.6,JohnTy02
65,Patrick Laird,MIA,24,rb,15,4,62,168,9,86,1.4,82,1.3,5,12.4,LairPa00
66,Carson Wentz,PHI,27,QB,16,16,62,243,21,167,2.7,76,1.2,4,15.5,WentCa00
67,Boston Scott,PHI,24,rb,11,2,61,245,17,136,2.2,109,1.8,2,30.5,ScotBo02
68,Chase Edmonds,ARI,23,rb,13,2,60,303,12,180,3.0,123,2.1,4,15.0,EdmoCh00
69,Bilal Powell,NYJ,31,rb,13,1,59,229,12,82,1.4,147,2.5,4,14.8,PoweBi00
70,Jameis Winston,TAM,25,QB,16,16,59,250,18,193,3.3,57,1.0,2,29.5,WinsJa00
71,Justice Hill,BAL,22,rb,16,0,58,225,10,125,2.2,100,1.7,3,19.3,HillJu00
72,Jacoby Brissett,IND,27,QB,15,15,56,228,20,186,3.3,42,0.8,1,56.0,BrisJa00
73,Ryan Fitzpatrick,MIA,37,QB,15,13,54,243,16,195,3.6,48,0.9,3,18.0,FitzRy00
74,Dion Lewis,TEN,29,rb,16,1,54,209,6,82,1.5,127,2.4,7,7.7,LewiDi00
75,Giovani Bernard,CIN,28,rb,16,2,53,170,10,66,1.2,104,2.0,6,8.8,BernGi00
76,Mark Walton,MIA,22,rb,7,4,53,201,11,91,1.7,110,2.1,1,53.0,WaltMa00
77,Nyheim Hines,IND,23,rb,16,2,52,199,16,118,2.3,81,1.6,2,26.0,HineNy00
78,Dak Prescott,DAL,26,QB,16,16,52,277,19,178,3.4,99,1.9,7,7.4,PresDa01
79,Jordan Wilkins,IND,25,rb,14,1,51,307,12,140,2.7,167,3.3,4,12.8,WilkJo01
80,Mike Boone,MIN,24,rb,16,2,49,273,9,93,1.9,180,3.7,2,24.5,BoonMi00
81,Jonathan Williams,IND,25,rb,9,1,49,235,13,102,2.1,133,2.7,7,7.0,WillJo07
82,Mitchell Trubisky,CHI,25,QB,15,15,48,193,12,140,2.9,53,1.1,4,12.0,TrubMi00
83,Jimmy Garoppolo,SFO,28,QB,16,16,46,62,13,45,1.0,17,0.4,1,46.0,GaroJi00
84,Aaron Rodgers*,GNB,36,QB,16,16,46,183,9,155,3.4,28,0.6,0,,RodgAa00
85,Daniel Jones,NYG,22,QB,13,12,45,279,21,236,5.2,43,1.0,2,22.5,JoneDa05
86,Kareem Hunt,CLE,24,rb,8,3,43,179,8,65,1.5,114,2.7,4,10.8,HuntKa00
87,Patrick Mahomes*,KAN,24,QB,14,14,43,218,15,194,4.5,24,0.6,1,43.0,MahoPa00
88,Ryan Tannehill*,TEN,31,QB,12,10,43,185,14,156,3.6,29,0.7,1,43.0,TannRy00
89,Derrius Guice,WAS,22,rb,5,1,42,245,9,52,1.2,193,4.6,3,14.0,GuicDe00
90,Darrel Williams,KAN,24,rb,12,0,41,141,12,81,2.0,60,1.5,1,41.0,WillDa10
91,Darrell Henderson,LAR,22,rb,13,0,39,147,10,84,2.2,63,1.6,7,5.6,HendDa00
92,Jalen Richard,OAK,26,rb,16,0,39,145,10,90,2.3,55,1.4,0,,RichJa01
93,J.D. McKissic,DET,26,wr,16,3,38,205,8,112,2.9,93,2.4,3,12.7,McKiJ.00
94,Chris Thompson,WAS,29,rb,11,0,37,138,7,74,2.0,64,1.7,2,18.5,ThomCh03
95,Darwin Thompson,KAN,22,rb,12,0,37,128,9,58,1.6,70,1.9,4,9.3,ThomDa06
96,Myles Gaskin,MIA,22,rb,7,0,36,133,7,28,0.8,105,2.9,0,,GaskMy00
97,Ryquell Armstead,JAX,23,rb,16,1,35,108,5,18,0.5,90,2.6,2,17.5,ArmsRy00
98,Matt Ryan,ATL,34,QB,15,15,34,147,10,133,3.9,14,0.4,0,,RyanMa00
99,Sam Darnold,NYJ,22,QB,13,13,33,62,6,54,1.6,8,0.2,0,,DarnSa00
100,Jared Goff,LAR,25,QB,16,16,33,40,5,36,1.1,4,0.1,0,,GoffJa00
101,Kyle Allen,CAR,23,QB,13,12,32,106,9,81,2.5,25,0.8,2,16.0,AlleKy00
102,Andy Dalton,CIN,32,QB,13,13,32,73,12,41,1.3,32,1.0,1,32.0,DaltAn00
103,Ty Montgomery,NYJ,26,wr,16,2,32,103,2,61,1.9,42,1.3,0,,MontTy01
104,Kirk Cousins*,MIN,31,QB,15,15,31,63,8,51,1.6,12,0.4,0,,CousKi00
105,Jon Hilliman,NYG,24,rb,3,1,30,91,6,45,1.5,46,1.5,0,,HillJo03
106,Wayne Gallman,NYG,25,rb,10,2,29,110,6,72,2.5,38,1.3,0,,GallWa00
107,Justin Jackson,LAC,23,rb,7,0,29,200,9,99,3.4,101,3.5,4,7.3,JackJu01
108,Teddy Bridgewater,NOR,27,qb,9,5,28,31,4,16,0.6,15,0.5,0,,BridTe00
109,Baker Mayfield,CLE,24,QB,16,16,28,141,15,110,3.9,31,1.1,2,14.0,MayfBa00
110,Derek Carr,OAK,28,QB,16,16,27,82,7,81,3.0,1,0.0,0,,CarrDe02
111,Taysom Hill,NOR,29,wr,16,5,27,156,10,107,4.0,49,1.8,1,27.0,HillTa00
112,Jeff Wilson,SFO,24,rb,10,0,27,105,9,66,2.4,39,1.4,0,,WilsJe01
113,Tom Brady,NWE,42,QB,16,16,26,34,8,30,1.2,4,0.2,0,,BradTo00
114,Marcus Mariota,TEN,26,qb,7,6,24,129,5,98,4.1,31,1.3,1,24.0,MariMa01
115,Kerrith Whyte Jr,PIT,23,rb,6,0,24,122,5,47,2.0,75,3.1,1,24.0,WhytKe00
116,Ameer Abdullah,MIN,26,rb,16,0,23,115,4,77,3.3,38,1.7,2,11.5,AbduAm00
117,C.J. Prosise,SEA,25,rb,9,0,23,72,4,39,1.7,33,1.4,1,23.0,ProsC.00
118,Jeff Driskel,DET,26,qb,3,3,22,151,10,126,5.7,25,1.1,1,22.0,DrisJe00
119,Trey Edmunds,PIT,25,te,11,0,22,92,2,53,2.4,39,1.8,0,,EdmuTr00
120,Qadree Ollison,ATL,23,rb,8,0,22,50,6,29,1.3,21,1.0,0,,OlliQa00
121,Wendell Smallwood,WAS,25,rb,15,0,22,81,4,47,2.1,34,1.5,1,22.0,SmalWe00
122,Ito Smith,ATL,24,rb,7,0,22,106,10,71,3.2,35,1.6,2,11.0,SmitIt00
123,Devlin Hodges,PIT,23,qb,8,6,21,68,5,64,3.0,4,0.2,0,,HodgDe00
124,Mason Rudolph,PIT,24,QB,10,8,21,42,6,21,1.0,21,1.0,1,21.0,RudoMa00
125,Robert Griffin III,BAL,29,qb,7,1,20,70,5,51,2.6,19,1.0,1,20.0,GrifRo01
126,Dwayne Haskins,WAS,22,qb,9,7,20,101,7,72,3.6,29,1.5,0,,HaskDw00
127,Matthew Stafford,DET,31,QB,8,8,20,66,5,54,2.7,12,0.6,1,20.0,StafMa00
128,Curtis Samuel,CAR,23,WR,16,15,19,130,7,103,5.4,27,1.4,1,19.0,SamuCu00
129,Tra Carson,2TM,27,,3,1,18,48,3,19,1.1,29,1.6,0,,CarsTr01
130,Travis Homer,SEA,21,rb,16,1,18,114,6,82,4.6,32,1.8,0,,HomeTr00
131,Drew Lock,DEN,23,qb,5,5,18,72,5,63,3.5,9,0.5,2,9.0,LockDr00
132,Cordarrelle Patterson*+,CHI,28,wr,16,4,17,103,4,81,4.8,22,1.3,3,5.7,PattCo00
133,Darren Sproles,PHI,36,rb,6,1,17,66,3,40,2.4,26,1.5,0,,SproDa00
134,Spencer Ware,KAN,28,rb,3,1,17,51,3,21,1.2,30,1.8,2,8.5,WareSp00
135,Robert Woods,LAR,27,WR,15,15,17,115,5,81,4.8,34,2.0,3,5.7,WoodRo02
136,T.J. Yeldon,BUF,26,rb,6,0,17,63,5,15,0.9,48,2.8,4,4.3,YeldT.00
137,C.J. Anderson,DET,28,rb,2,0,16,43,1,6,0.4,37,2.3,1,16.0,AndeC.00
138,Reggie Bonnafon,CAR,23,rb,16,0,16,116,2,92,5.8,24,1.5,1,16.0,BonnRe00
139,Brandon Bolden,NWE,29,rb,15,2,15,68,5,46,3.1,22,1.5,2,7.5,BoldBr00
140,Elijhaa Penny,NYG,26,rb,16,1,15,39,2,16,1.1,23,1.5,1,15.0,PennEl00
141,Deebo Samuel,SFO,23,WR,15,11,14,159,5,105,7.5,54,3.9,2,7.0,SamuDe00
142,Mike Davis,2TM,26,,12,1,13,27,0,15,1.2,12,0.9,0,,DaviMi01
143,Dontrell Hilliard,CLE,24,rb,14,0,13,49,3,36,2.8,13,1.0,0,,HillDo00
144,Joe Flacco,DEN,34,QB,8,8,12,20,4,16,1.3,4,0.3,0,,FlacJo00
145,Marshawn Lynch,SEA,33,rb,1,0,12,34,2,20,1.7,14,1.2,0,,LyncMa00
146,Paul Perkins,DET,25,rb,4,0,12,29,3,16,1.3,13,1.1,1,12.0,PerkPa00
147,Philip Rivers,LAC,38,QB,16,16,12,29,2,29,2.4,0,0.0,0,,RivePh00
148,Dalyn Dawkins,TEN,25,rb,2,0,11,26,2,17,1.5,9,0.8,0,,DawkDa01
149,Dare Ogunbowale,TAM,25,rb,16,0,11,17,3,5,0.5,12,1.1,1,11.0,OgunDa00
150,Jay Ajayi,PHI,26,rb,3,0,10,30,3,9,0.9,21,2.1,5,2.0,AjayJa00
151,Brandon Allen,DEN,27,qb,3,3,10,39,4,32,3.2,7,0.7,0,,AlleBr00
152,Javorius Allen,NYG,28,rb,10,0,10,36,3,-5,-0.5,41,4.1,0,,AlleJa01
153,Ryan Finley,CIN,25,qb,3,3,10,77,4,73,7.3,4,0.4,0,,FinlRy00
154,Wes Hills,DET,24,rb,1,1,10,21,3,9,0.9,12,1.2,0,,HillWe00
155,Alec Ingold,OAK,23,fb,16,4,10,17,7,9,0.9,8,0.8,0,,IngoAl01
156,Christian Kirk,ARI,23,WR,13,13,10,93,4,66,6.6,27,2.7,1,10.0,KirkCh01
